logon_type,logon_title,description
source,url,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4624#logon-types-and-descriptions
0,System,"Used only by the System account, for example at system startup."
2,Interactive,A user logged on to this computer.
3,Network,A user or computer logged on to this computer from the network.
4,Batch,"Batch logon type is used by batch servers, where processes can be run on behalf of a user without their direct intervention."
5,Service,The Service Control Manager started a service.
7,Unlock,This workstation was unlocked.
8,NetworkCleartext,A user logged on to this computer from the network. The user's password was passed to the authentication package in its unhashed form. The built-in authentication packages all hash credentials before sending them across the network. The credentials don't traverse the network in plaintext (also called cleartext).
9,NewCredentials,"A caller cloned its current token and specified new credentials for outbound connections. The new logon session has the same local identity, but uses different credentials for other network connections."
10,RemoteInteractive,A user logged on to this computer remotely using Terminal Services or Remote Desktop.
11,CachedInteractive,A user logged on to this computer with network credentials that were stored locally on the computer. The domain controller wasn't contacted to verify the credentials.
12,CachedRemoteInteractive,Same as RemoteInteractive. This type is used for internal auditing.
13,CachedUnlock,Workstation logon.
